color,change,low,high,price,karat,currency
True,0.32,54.55,55.64,55.38,عيار سعر الذهب عيار 24 قيراط,eur
True,0.29,50.08,51.08, 50.83,سعر الذهب عيار 22 قيراط,eur
True,0.28,47.73,48.69, 48.45,سعر الذهب عيار 21 قيراط,eur
True,0.24,40.92,41.73,41.53,سعر الذهب عيار 18 قيراط,eur
True,0.19,31.91,32.55,32.39,سعر الذهب عيار 14 قيراط,eur
True,0.13,22.75,23.20,23.09,سعر الذهب عيار 10 قيراط,eur
True,0.08,13.64,13.91,13.84,سعر الذهب عيار 6 قيراط,eur
True,0.31,55.00,56.10,55.82,عيار سعر الذهب عيار 24 قيراط,usd
True,0.28,50.49,51.50, 51.24,سعر الذهب عيار 22 قيراط,usd
True,0.27,48.13,49.09, 48.84,سعر الذهب عيار 21 قيراط,usd
True,0.23,41.25,42.08,41.87,سعر الذهب عيار 18 قيراط,usd
True,0.18,32.18,32.82,32.66,سعر الذهب عيار 14 قيراط,usd
True,0.13,22.94,23.39,23.28,سعر الذهب عيار 10 قيراط,usd
True,0.08,13.75,14.03,13.96,سعر الذهب عيار 6 قيراط,usd
